REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Luxembourg","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",241544787
"Austria","Latvia","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",110537759
"Austria","Latvia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",89689974
"Austria","Latvia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",116126017
"Austria","Latvia","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",237911635
"Austria","Latvia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",198459364
"Austria","Latvia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",218782573
"Austria","Malta","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",17389150
"Austria","Malta","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",18083504
"Austria","Malta","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",37291407
"Austria","Malta","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",29599773
"Austria","Netherlands","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",10223901483
"Austria","Netherlands","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",10927900314
"Austria","Netherlands","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3647328156
"Austria","Netherlands","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3787054882
"Austria","Poland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",6329568295
"Austria","Poland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",7222229268
"Austria","Poland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",7736710205
"Austria","Poland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",7325242540
"Austria","Portugal","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",485576406
"Austria","Portugal","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",368735535
"Austria","Portugal","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",459574330
"Austria","Portugal","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",594207965
"Austria","Portugal","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",590836377
"Austria","Portugal","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",714454830
"Austria","Romania","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1809121831
"Austria","Romania","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",1884833168
"Austria","Romania","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3721379891
"Austria","Romania","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3904939183
"Austria","Sweden","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2081940630
"Austria","Sweden","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",1897383010
"Austria","Sweden","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1797108226
"Austria","Sweden","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",1992969214
"Austria","Slovenia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3348757318
"Austria","Slovenia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3357106667
"Austria","Slovenia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",4129867057
"Austria","Slovenia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",4134602538
"Austria","Slovakia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",6101570624
"Austria","Slovakia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",5703946614
"Austria","Slovakia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",7887490270
"Austria","Slovakia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",8562990078
"Belgium (incl. Luxembourg 'LU' -> 1998)","Austria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",3969205130
"Belgium (incl. Luxembourg 'LU' -> 1998)","Austria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3508895098
"Belgium (incl. Luxembourg 'LU' -> 1998)","Austria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",5428910103
"Belgium (incl. Luxembourg 'LU' -> 1998)","Austria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",4773729748
"Belgium (incl. Luxembourg 'LU' -> 1998)","Bulgaria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1043792735
"Belgium (incl. Luxembourg 'LU' -> 1998)","Bulgaria","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",933774787
"Belgium (incl. Luxembourg 'LU' -> 1998)","Bulgaria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",1291837989
"Belgium (incl. Luxembourg 'LU' -> 1998)","Bulgaria","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",989839380
"Belgium (incl. Luxembourg 'LU' -> 1998)","Cyprus","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",37398762
"Belgium (incl. Luxembourg 'LU' -> 1998)","Cyprus","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",23003669
"Belgium (incl. Luxembourg 'LU' -> 1998)","Cyprus","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",273919634
"Belgium (incl. Luxembourg 'LU' -> 1998)","Cyprus","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",220293729
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",5515699911
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",4980693911
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",5286073405
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",5107375682
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",5234997253
"Belgium (incl. Luxembourg 'LU' -> 1998)","Czechia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",5046458038
